Câu 1: Nhà triết học nào coi lửa là thực thể đầu tiên của thế giới và đó là lập trường triết học nào?
"A.	Đê-mô-crít, - chủ nghĩa duy vật tự phát."
"B.	Hê-ra-clít, - chủ nghĩa duy vật tự phát."
"C.	Hê-ra-clít, - chủ nghĩa duy tâm khách quan."
"D.	Ana-ximen, - chủ ngiã duy vật tự phát."
Câu 2: Nhà triết học nào cho nguyên tử và khoảng không là thực thể đầu tiên của thế giới và đó là lập trường triết học nào?
"A.	Đê-mô-rít, chủ nghĩa duy vật tự phát."
"B.	Hê-ra-clít, - chủ nghĩa duy vật tự phát"
"C.	Đê-mô-crít, chủ nghĩa duy tâm khách quan."
"D.	A-ri-xtốt, - chủ nghĩa duy vật tự phát."
Câu 3: Đồng nhất vật chất nói chung với một vật thể hữu hình cảm tính đang tồn tại trong thế giới bên ngoài là quan điểm của trường phái triết học nào?
"A.	Chủ nghĩa duy tâm."
"B.	Chủ nghĩa duy vật tự phát."
"C.	Chủ nghĩa duy vật siêu hình thế kỷ XVII - XVIII."
"D.	Chủ nghĩa duy vật biện chứng."
"Câu 4: Đồng nhất vật chất nói chung với nguyên tử - một phần tử vật chất nhỏ nhất, đó là quan điểm của trường phái triết học nào?"
"A.	Chủ nghĩa duy vật siêu hình thế kỷ XVII - XVIII."
"B.	Chủ nghĩa duy vật tự phát."
"C.	Chủ nghĩa duy vật biện chứng."
"D.	Chủ nghĩa duy tâm"
Câu 5: Điểm chung trong quan niệm về vật chất của các nhà triết học duy vật thời kỳ cổ đại là:
"A.	Đồng nhất vật chất với những dạng tồn tại cụ thể"
"B.	Đồng nhất vật chất với điện tử"
"C.	Đồng nhất vật chất với khối lượng"
"D.	Cả A, B, C đều đúng "
"Câu 6: Theo chủ nghĩa duy vật biện chứng, tồn tại khách quan là:"
"A.	Tồn tại bên ngoài con người, độc lập với ý thức con người"
"B.	Sản phẩm của tư duy con người"
"C.	Tồn tại không thể nhận thức được"
"D.	Tồn tại phụ thuộc vào ý thức"
"Câu 7: Theo chủ nghĩa duy vật biện chứng, thuộc tính cơ bản, phổ biến nhất của mọi dạng vật chất là:"
"A.	Tồn tại"
"B.	Tồn tại chủ quan"
"C.	Tồn tại khách quan"
"D.	Vừa tồn tại khách quan, vừa tồn tại chủ quan"
"Câu 8: Theo chủ nghĩa duy vật biện chứng, thế giới thống nhất ở:"
"A.	Tính chủ quan"
"B.	Sự tồn tại"
"C.	Tính vật chất"
"D.	Tính phổ biến"
Câu 9: Đặc điểm chung của quan niệm duy vật về vật chất ở thời kỳ cổ đại là gì?
"A.	Đồng nhất vật chất nói chung với nguyên tử."
"B.	Đồng nhất vật chất nói chung với một dạng cụ thể hữu hình, cảm tính của vật chất."
"C.	Đồng nhất vật chất với khối lượng."
"D.	Đồng nhất vật chất với ý thức."
Câu 10: Hạn chế chung của quan niệm duy vật về vật chất ở thời kỳ cổ đại.
"A.	Có tính chất duy tâm chủ quan."
"B.	Có tính chất duy vật tự phát, là những phỏng đoán dựa trên những tài liệu cảm tính là chủ yếu, chưa có cơ sở khoa học."
"C.	Có tính chất duy vật máy móc siêu hình."
"D.	Chỉ ra thuộc tính cơ bản nhất của vật chất là thuộc tính tồn tại khách quan"
Câu 11: Đâu là mặt tích cực trong quan niệm duy vật về vật chất ở thời kỳ cổ đại? 
"A.	Chống quan niệm máy móc siêu hình."
