"Câu 1: Theo quan niệm của Người Hy Lạp cổ đại, triết học (philosophia) mang nghĩa là…",A. giải thích vũ trụ,B. định hướng nhận thức và hành vi,C. khát vọng tìm kiếm chân lý của con người,"D. Cả A, B, C"
Câu 2: Chọn câu trả lời đúng nhất: Triết học ra đời….,A. chỉ ở phương Đông,B. chỉ ở phương Tây,C. cả phương Đông và phương Tây,"D. Cả A, B, C đều sai"
Câu 3: Nguồn gốc nhận thức của triết học là gì?,A. Tri thức loài người đã hình thành được một vốn hiểu biết nhất định,"B. Tư duy con người đạt đến trình độ khái quát hóa, trừu tượng hóa",C. Tri thức của các khoa học cụ thể dần hình thành,"D. Cả A, B, C"
Câu 4: Nguồn gốc xã hội của triết học là gì?,"A. Chế độ tư hữu xuất hiện, phân công lao động xã hội","B. Xã hội phân chia giai cấp, có đối kháng giai cấp, nhà nước xuất hiện",C. Sự xuất hiện của lao động trí óc,"D. Cả A, B, C"
"Câu 5: Triết học Mác – Lênin phục vụ, phản ánh lợi ích của giai cấp nào?",A. Giai cấp công nhân,B. Giai cấp nông dân,C. Đội ngũ trí thức,D. Giai cấp tư sản
Câu 6: Để ra đời triết học cần mấy nguồn gốc?,A. 2,B. 3,C. 4,D. 5
"Câu 7: Ở Trung Quốc, triết học với nghĩa….","A. là truy tìm bản chất của đối tượng nhận thức, biểu hiện cao của trí tuệ","B. là “Chiêm ngưỡng”, hàm ý là tri thức dựa trên lý trí, là con đường suy ngẫm",C. là yêu mến sự thông thái,D. không có phương án đúng
"Câu 8: Theo người Trung Quốc, triết học là…?",A. biểu hiện cao của trí tuệ,B. sự hiểu biết sâu sắc của con người về toàn bộ thế giới thiên - địa – nhân,C. định hướng nhân sinh quan cho con người,"D. Cả A, B, C"
"Câu 9: Ở Ấn Độ, triết học với nghĩa…","A. là truy tìm bản chất của đối tượng nhận thức, biểu hiện cao của trí tuệ","B. là “Chiêm ngưỡng”, hàm ý là tri thức dựa trên lý trí, là con đường suy ngẫm đưa người ta đến lẽ phải",C. là yêu mến sự thông thái,D. Không có phương án đúng
"Câu 10: Ở Hy Lạp, triết học với nghĩa…","A. là truy tìm bản chất của đối tượng nhận thức, biểu hiện cao của trí tuệ","B. là “Chiêm ngưỡng”, hàm ý là tri thức dựa trên lý trí, là con đường suy ngẫm",C. là yêu mến sự thông thái,D. không có phương án đúng
"Câu 11: Hệ thống triết học nào quan niệm, triết học là “yêu mến sự thông thái”?",A. Triết học Trung Quốc cổ đại,B. Triết học Ấn Độ cổ đại,C. Triết học Hy Lạp cổ đại,D. Triết học cổ điển Đức
"Câu 12: Hệ thống triết học nào quan niệm, triết học là “Chiêm ngưỡng”, hàm ý là tri thức dựa trên lý trí, là con đường suy nghĩ để dẫn dắt con người đến với lẽ phải",A. Triết học Trung Quốc cổ đại,B. Triết học Ấn Độ cổ đại,C. Triết học Hy Lạp cổ đại,D. Triết học cổ điển Đức
"Câu 13: Điền thuật ngữ đúng vào chỗ trống: “Triết học là hệ thống quan điểm [...] về thế giới và vị trí con người trong thế giới đó, là khoa học về những quy luật vận động, phát triển chung nhất của tự nhiên, xã hội và tư duy”.",A. lí luận chung nhất,B. lí luận,C. thực tiễn,D. kinh nghiệm
"Câu 14: Hệ thống triết học nào quan niệm: “Triết học là hệ thống quan điểm lí luận chung nhất về thế giới và vị trí con người trong thế giới đó, là khoa học về những quy luật vận động, phát triển chung nhất của tự nhiên, xã hội và tư duy”.",A. Triết học cổ điển Đức,B. Triết học Trung Quốc cổ đại,C. Triết học Ấn Độ cổ đại,D. Triết học Mác - Lênin
